"Rank","Artist Name","Country","Genre","Viberate Rank","Spotify Rank","Spotify Followers 1m","Spotify Followers Total","Spotify Monthly Streams 1m","Spotify Monthly Streams Total","Spotify Monthly Listeners 1m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1m","YouTube Subscribers Total","YouTube Views 1m","YouTube Views Total","YouTube Likes 1m","YouTube Likes Total","Social Rank","TikTok Followers 1m","TikTok Followers Total","TikTok Likes 1m","TikTok Views 1m","Instagram Followers 1m","Instagram Followers Total","Instagram Likes 1m","Facebook Followers 1m","Facebook Followers Total","Twitter Followers 1m","Twitter Followers Total","Twitter Likes 1m","Deezer Fans 1m","Deezer Fans Total","SoundCloud Followers 1m","SoundCloud Followers Total","SoundCloud Plays 1m","Shazam Shazams 1m","Radio Airplay Rank","Radio Airplay Spins 1m","Radio Airplay Countries with Spins 1m","Radio Airplay Stations with Spins 1m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1m","Beatport Track Performance Points Total"
"1","Taylor Swift","United States","Pop","1","1","N/A","83778950","N/A","56354647712","N/A","99169121","581808709","3","N/A","53600000","N/A","28122879266","N/A","262504844","2","N/A","20800000","N/A","N/A","N/A","271014322","N/A","N/A","79793467","N/A","92547654","N/A","N/A","9932106","N/A","509288","N/A","N/A","4","N/A","N/A","N/A","73781","20","0","0","N/A","21.14341528863903"
"2","Ed Sheeran","United Kingdom","Pop","14","2","N/A","114483374","N/A","48112130749","N/A","77590279","504680491","34","N/A","53600000","N/A","33720712401","N/A","235360672","104","N/A","14200000","N/A","N/A","N/A","45028439","N/A","N/A","22925501","N/A","17385459","N/A","N/A","19195009","N/A","2464530","N/A","N/A","1","N/A","N/A","N/A","474","41","15","2853","N/A","15091.561495851836"
"3","The Weeknd","Canada","Pop","2","3","N/A","70181241","N/A","65782173962","N/A","111211738","580770743","9","N/A","33000000","N/A","23863278743","N/A","196883584","11","N/A","8100000","N/A","N/A","N/A","64044555","N/A","N/A","17746548","N/A","17293051","N/A","N/A","11542217","N/A","6646539","N/A","N/A","5","N/A","N/A","N/A","481","147","33","5063","N/A","9333.479777766528"
"4","Ariana Grande","United States","Pop","7","4","N/A","93090055","N/A","42383253639","N/A","66273634","387493818","6","N/A","52800000","N/A","27140781155","N/A","287106865","9","N/A","32600000","N/A","N/A","N/A","378664465","N/A","N/A","42845378","N/A","N/A","N/A","N/A","12133690","N/A","841074","N/A","N/A","62","N/A","N/A","N/A","83660","23","8","1071","N/A","3974.6195571647118"
"5","Eminem","United States","Hip Hop","9","5","N/A","75554298","N/A","50451097702","N/A","64325114","250177908","5","N/A","57200000","N/A","29217449849","N/A","253159930","119","N/A","5600000","N/A","N/A","N/A","39740778","N/A","N/A","95741077","N/A","22587423","N/A","N/A","16487038","N/A","1532619","N/A","N/A","133","N/A","N/A","N/A","21683","167","20","734","N/A","160.4343240795941"
"6","Justin Bieber","Canada","Pop","12","6","N/A","73825480","N/A","55401210315","N/A","72165185","456246973","7","N/A","71800000","N/A","44159943823","N/A","367391156","17","N/A","26900000","N/A","N/A","N/A","292923126","N/A","N/A","92229655","N/A","113221224","N/A","N/A","10290921","N/A","1306877","N/A","N/A","37","N/A","N/A","N/A","5455","80","25","3293","N/A","3988.1200099999696"
"7","Drake","Canada","Hip Hop","11","7","N/A","78767773","N/A","90535546631","N/A","75964918","484351051","16","N/A","28300000","N/A","29631342053","N/A","211331632","24","N/A","277000","N/A","N/A","N/A","142153570","N/A","N/A","52630513","N/A","39779677","N/A","N/A","22588226","N/A","3103778","N/A","N/A","93","N/A","N/A","N/A","1070","244","61","7834","N/A","4408.969804194402"
"8","Billie Eilish","United States","Pop","8","8","N/A","85067440","N/A","28853420435","N/A","72330825","373102968","45","N/A","48300000","N/A","13486094355","N/A","247353177","7","N/A","49800000","N/A","N/A","N/A","110144251","N/A","N/A","32514715","N/A","7201444","N/A","N/A","7234422","N/A","2026470","N/A","N/A","197","N/A","N/A","N/A","14714","29","1","87","N/A","384.6169379038689"
"9","Coldplay","United Kingdom","Rock","19","9","N/A","46676272","N/A","27818694170","N/A","66014687","390915132","30","N/A","25400000","N/A","19489561474","N/A","133775075","70","N/A","5700000","N/A","N/A","N/A","24696404","N/A","N/A","41034247","N/A","23662553","N/A","N/A","16235880","N/A","335954","N/A","N/A","14","N/A","N/A","N/A","19522","42","16","2919","N/A","4136.341737571879"
"10","Bad Bunny","Puerto Rico","Latin","10","10","N/A","73240213","N/A","67692556032","N/A","81065773","460572402","10","N/A","46300000","N/A","56631919589","N/A","357261371","191","N/A","31400000","N/A","N/A","N/A","45931358","N/A","N/A","14132811","N/A","4990935","N/A","N/A","6396315","N/A","887950","N/A","N/A","71","N/A","N/A","N/A","18277","25","3","1094","N/A","99.13852725842585"
"11","Rihanna","Barbados","Pop","13","11","N/A","57342208","N/A","44162740639","N/A","74475604","380567381","11","N/A","42000000","N/A","32885207496","N/A","169961685","20","N/A","9100000","N/A","N/A","N/A","152577895","N/A","N/A","105054570","N/A","108297139","N/A","N/A","15910695","N/A","2102443","N/A","N/A","16","N/A","N/A","N/A","57165","102","15","1235","N/A","530.6786118531728"
"12","Imagine Dragons","United States","Rock","25","12","N/A","49795000","N/A","26176953668","N/A","57723620","239350463","27","N/A","30800000","N/A","20926369644","N/A","170391986","220","N/A","2700000","N/A","N/A","N/A","7445389","N/A","N/A","14999489","N/A","5629476","N/A","N/A","7773172","N/A","5482779","N/A","N/A","11","N/A","N/A","N/A","64244","28","5","201","N/A","559.7098376675601"
"13","Bruno Mars","United States","Pop","20","13","N/A","50386795","N/A","27222217832","N/A","61912924","328945206","49","N/A","36900000","N/A","29015009655","N/A","181740070","82","N/A","8300000","N/A","N/A","N/A","29192178","N/A","N/A","59697618","N/A","42985456","N/A","N/A","10445210","N/A","687027","N/A","N/A","28","N/A","N/A","N/A","19625","39","11","1817","N/A","5749.79154674788"
"14","Dua Lipa","United Kingdom","Pop","18","14","N/A","41232064","N/A","28454113384","N/A","77605922","539205652","100","N/A","21900000","N/A","15740331901","N/A","125846558","27","N/A","9400000","N/A","N/A","N/A","88981343","N/A","N/A","17921209","N/A","10308312","N/A","N/A","7479041","N/A","379891","N/A","N/A","6","N/A","N/A","N/A","190","193","48","6980","N/A","31138.288356768986"
"15","Harry Styles","United Kingdom","Pop","32","15","N/A","28988552","N/A","18706155364","N/A","60818721","400894788","143","N/A","14600000","N/A","5161302958","N/A","83259680","50","N/A","7700000","N/A","N/A","N/A","49221295","N/A","N/A","18155094","N/A","38287064","N/A","N/A","1735854","N/A","208172","N/A","N/A","7","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"16","Adele","United Kingdom","Pop","23","16","N/A","50774346","N/A","17751139002","N/A","50771008","231457831","48","N/A","30300000","N/A","15248572601","N/A","94303863","109","N/A","N/A","N/A","N/A","N/A","53938287","N/A","N/A","70336753","N/A","27646067","N/A","N/A","13548015","N/A","503907","N/A","N/A","23","N/A","N/A","N/A","90618","86","4","732","N/A","869.5636078203938"
"17","Arijit Singh","India","Pop","52","17","N/A","86998882","N/A","10851753220","N/A","36548522","41232512","66","N/A","3480000","N/A","23316178660","N/A","185829468","813","N/A","N/A","N/A","N/A","N/A","8411569","N/A","N/A","29930928","N/A","274280","N/A","N/A","191078","N/A","100439","N/A","N/A","1757","N/A","N/A","N/A","83131","1","0","0","N/A","2.27620019404619"
"18","XXXTENTACION","United States","Hip Hop","69","18","N/A","42759475","N/A","30489753092","N/A","35357014","85900234","131","N/A","39300000","N/A","8752684781","N/A","154076558","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","4073588","N/A","5269931","N/A","N/A","2342","N/A","N/A","N/A","89666","6","2","90","N/A","12.845554286113286"
"19","Post Malone","United States","Hip Hop","26","19","N/A","41783470","N/A","46012445525","N/A","66736994","418720223","40","N/A","25700000","N/A","14264945452","N/A","120995692","116","N/A","15200000","N/A","N/A","N/A","24275219","N/A","N/A","13104217","N/A","7017213","N/A","N/A","3573315","N/A","1995726","N/A","N/A","82","N/A","N/A","N/A","11455","92","34","3298","N/A","1899.881646001012"
"20","Queen","United Kingdom","Rock","60","20","N/A","48027348","N/A","31611748510","N/A","47244190","174294482","198","N/A","17100000","N/A","10508421922","N/A","80886884","471","N/A","2900000","N/A","N/A","N/A","5785267","N/A","N/A","26553831","N/A","2196179","N/A","N/A","11022612","N/A","207976","N/A","N/A","8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"21","Selena Gomez","United States","Pop","4","21","N/A","44539119","N/A","23249588091","N/A","49982299","344035499","24","N/A","33800000","N/A","22342926335","N/A","218126247","1","N/A","59100000","N/A","N/A","N/A","427805634","N/A","N/A","89788066","N/A","67041310","N/A","N/A","5019065","N/A","291073","N/A","N/A","94","N/A","N/A","N/A","9802","90","13","750","N/A","935.2496933034339"
"22","BTS","South Korea","Pop","5","22","N/A","68681969","N/A","39044333868","N/A","34526345","298236828","12","N/A","76200000","N/A","40263408586","N/A","1900854633","4","N/A","61900000","N/A","N/A","N/A","73967476","N/A","N/A","21390767","N/A","42833993","N/A","N/A","3260090","N/A","4507002","N/A","N/A","257","N/A","N/A","N/A","60269","10","3","142","N/A","65.96299021516536"
"23","Maroon 5","United States","Pop","37","23","N/A","41301989","N/A","31817536528","N/A","56719666","281471708","17","N/A","36600000","N/A","23117654352","N/A","131198796","628","N/A","2700000","N/A","N/A","N/A","8800513","N/A","N/A","37730934","N/A","14005604","N/A","N/A","10586753","N/A","1713902","N/A","N/A","12","N/A","N/A","N/A","87151","38","3","123","N/A","330.57083630403093"
"24","Calvin Harris","United Kingdom","Electronic","48","24","N/A","23588589","N/A","24362286550","N/A","66488143","491739038","42","N/A","19100000","N/A","16290793681","N/A","82819154","325","N/A","1300000","N/A","N/A","N/A","11215003","N/A","N/A","14797540","N/A","11749118","N/A","N/A","11725115","N/A","7192146","N/A","N/A","25","N/A","N/A","N/A","153","377","108","17268","N/A","59821.73478629212"
"25","David Guetta","France","Electronic","33","25","N/A","26518152","N/A","31474412566","N/A","72715412","536224153","79","N/A","25800000","N/A","19972561785","N/A","118942939","134","N/A","5800000","N/A","N/A","N/A","10244950","N/A","N/A","48558369","N/A","19938740","N/A","N/A","18580514","N/A","2464564","N/A","N/A","31","N/A","N/A","N/A","15","945","295","37086","N/A","100379.2940932899"
"26","Miley Cyrus","United States","Pop","22","26","N/A","21855889","N/A","15453450554","N/A","68272329","447925589","62","N/A","18400000","N/A","11670343089","N/A","93836060","30","N/A","18000000","N/A","N/A","N/A","213617743","N/A","N/A","47751631","N/A","46865028","N/A","N/A","6618479","N/A","1296157","N/A","N/A","19","N/A","N/A","N/A","42381","18","7","648","N/A","805.0268124635347"
"27","Sam Smith","United Kingdom","Pop","67","27","N/A","23030141","N/A","25638485809","N/A","58484442","464500542","98","N/A","16300000","N/A","12283137921","N/A","81957255","223","N/A","8700000","N/A","N/A","N/A","14638019","N/A","N/A","9562500","N/A","7870987","N/A","N/A","5084440","N/A","1442366","N/A","N/A","24","N/A","N/A","N/A","574","106","23","2334","N/A","17015.42252430471"
"28","Olivia Rodrigo","United States","Pop","30","28","N/A","27273991","N/A","11808504354","N/A","56944874","306382564","120","N/A","12100000","N/A","4128696317","N/A","75476228","31","N/A","16900000","N/A","N/A","N/A","33349553","N/A","N/A","3493188","N/A","1901604","N/A","N/A","1037020","N/A","210571","N/A","N/A","832","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"29","Marshmello","United States","Electronic","47","29","N/A","35276483","N/A","16323058695","N/A","56327255","415583047","56","N/A","56500000","N/A","16881326640","N/A","201476566","170","N/A","23700000","N/A","N/A","N/A","31216497","N/A","N/A","18496083","N/A","2436169","N/A","N/A","2754578","N/A","1405419","N/A","N/A","105","N/A","N/A","N/A","2323","130","51","4840","N/A","4130.42518558187"
"30","Shawn Mendes","Canada","Pop","53","30","N/A","42313495","N/A","23859036055","N/A","44603072","277833468","38","N/A","30000000","N/A","13677614556","N/A","149066470","142","N/A","8800000","N/A","N/A","N/A","73265846","N/A","N/A","16806579","N/A","26451340","N/A","N/A","6310523","N/A","404410","N/A","N/A","36","N/A","N/A","N/A","118252","2","2","207","N/A","270.63711132658"
"31","Katy Perry","United States","Pop","17","31","N/A","28880903","N/A","17447211711","N/A","51665388","227812808","14","N/A","44300000","N/A","26300499416","N/A","158674677","21","N/A","7000000","N/A","N/A","N/A","204746407","N/A","N/A","72059713","N/A","108311435","N/A","N/A","8929867","N/A","344608","N/A","N/A","17","N/A","N/A","N/A","3408","90","18","1023","N/A","1857.3650891932919"
"32","Shakira","Colombia","Pop","3","32","N/A","30993189","N/A","17874026900","N/A","66251663","382670375","1","N/A","44100000","N/A","31865588179","N/A","182029813","10","N/A","37800000","N/A","N/A","N/A","88600409","N/A","N/A","124367770","N/A","53923650","N/A","N/A","10576082","N/A","349833","N/A","N/A","40","N/A","N/A","N/A","5949","55","7","277","N/A","561.9767179090511"
"33","J Balvin","Colombia","Latin","38","33","N/A","37780838","N/A","41279016186","N/A","52170890","261755421","8","N/A","34100000","N/A","50021665813","N/A","272959022","185","N/A","20800000","N/A","N/A","N/A","51523788","N/A","N/A","26346077","N/A","10829995","N/A","N/A","9994001","N/A","173599","N/A","N/A","75","N/A","N/A","N/A","435","44","8","1215","N/A","11062.916124901736"
"34","Lady Gaga","United States","Pop","27","34","N/A","27669056","N/A","23749290100","N/A","52762129","259920022","23","N/A","23400000","N/A","15823126198","N/A","110700622","63","N/A","9000000","N/A","N/A","N/A","55940670","N/A","N/A","56644365","N/A","84714292","N/A","N/A","7421457","N/A","1255483","N/A","N/A","13","N/A","N/A","N/A","13044","51","5","189","N/A","463.7418219524227"
"35","Khalid","United States","Pop","159","35","N/A","16111084","N/A","28522436802","N/A","53168855","303881816","161","N/A","9410000","N/A","10948819008","N/A","95193370","1039","N/A","3600000","N/A","N/A","N/A","7367790","N/A","N/A","6009034","N/A","4900273","N/A","N/A","1611072","N/A","471598","N/A","N/A","385","N/A","N/A","N/A","4163","127","35","1911","N/A","1383.3813767472377"
"36","Daddy Yankee","Puerto Rico","Latin","36","36","N/A","33692297","N/A","30581866544","N/A","55318538","272299761","18","N/A","38100000","N/A","43791833811","N/A","236330287","118","N/A","14700000","N/A","N/A","N/A","48681843","N/A","N/A","30752102","N/A","16621830","N/A","N/A","6787047","N/A","146476","N/A","N/A","135","N/A","N/A","N/A","10868","44","10","1301","N/A","1317.127656867854"
"37","Karol G","Colombia","Latin","6","37","N/A","38575938","N/A","17810635128","N/A","54344417","345841721","2","N/A","32700000","N/A","26253620985","N/A","165211645","19","N/A","48500000","N/A","N/A","N/A","65317139","N/A","N/A","29626022","N/A","9384157","N/A","N/A","2745277","N/A","150692","N/A","N/A","73","N/A","N/A","N/A","2521","15","2","313","N/A","1815.6338618432194"
"38","Kendrick Lamar","United States","Hip Hop","73","38","N/A","25113507","N/A","36970165647","N/A","47623817","241841125","130","N/A","12200000","N/A","9612596173","N/A","87214750","708","N/A","N/A","N/A","N/A","N/A","12917402","N/A","N/A","13865425","N/A","12266590","N/A","N/A","5026009","N/A","929745","N/A","N/A","577","N/A","N/A","N/A","8489","86","27","3720","N/A","437.39499684895065"
"39","Camila Cabello","United States","Pop","72","39","N/A","31325030","N/A","16877651268","N/A","39374944","246436550","76","N/A","16300000","N/A","11865921936","N/A","128403782","132","N/A","17300000","N/A","N/A","N/A","67323257","N/A","N/A","19066926","N/A","13045266","N/A","N/A","3495490","N/A","168712","N/A","N/A","121","N/A","N/A","N/A","3795","18","3","449","N/A","945.0272644001111"
"40","SZA","United States","R&B","51","40","N/A","14282432","N/A","18065210336","N/A","61790781","359012662","201","N/A","4190000","N/A","4152816894","N/A","36666059","146","N/A","N/A","N/A","N/A","N/A","17400854","N/A","N/A","3174064","N/A","7476563","N/A","N/A","735075","N/A","296634","N/A","N/A","107","N/A","N/A","N/A","15106","34","6","265","N/A","303.9615277283474"
"41","Nicki Minaj","United States","Hip Hop","21","41","N/A","29245613","N/A","38518880181","N/A","65405104","463283826","22","N/A","25900000","N/A","32153070662","N/A","241196540","14","N/A","18400000","N/A","N/A","N/A","225621401","N/A","N/A","48595732","N/A","27811849","N/A","N/A","6854501","N/A","747014","N/A","N/A","172","N/A","N/A","N/A","2160","183","45","3402","N/A","6114.400937481503"
"42","Beyonce","United States","Pop","16","42","N/A","35655985","N/A","22071911415","N/A","54223620","408802079","28","N/A","26100000","N/A","18516715818","N/A","113600244","3","N/A","4900000","N/A","N/A","N/A","316195855","N/A","N/A","57435660","N/A","15591578","N/A","N/A","11582344","N/A","1837847","N/A","N/A","47","N/A","N/A","N/A","2622","183","15","410","N/A","1422.3682866196878"
"43","Doja Cat","United States","Pop","59","43","N/A","26045400","N/A","18816950623","N/A","55010623","380097438","122","N/A","11700000","N/A","8449265577","N/A","113945903","94","N/A","26000000","N/A","N/A","N/A","25037248","N/A","N/A","4960189","N/A","5534628","N/A","N/A","1893473","N/A","673939","N/A","N/A","128","N/A","N/A","N/A","8064","63","26","1605","N/A","571.8297149768871"
"44","Lana Del Rey","United States","Pop","31","44","N/A","27020100","N/A","21004558609","N/A","55312192","275188292","104","N/A","14400000","N/A","6994805356","N/A","74680280","67","N/A","3700000","N/A","N/A","N/A","8263325","N/A","N/A","15300763","N/A","N/A","N/A","N/A","4407832","N/A","8217126","N/A","N/A","467","N/A","N/A","N/A","5246","92","19","1902","N/A","4735.245131799911"
"45","Arctic Monkeys","United Kingdom","Rock","116","45","N/A","21197409","N/A","15379977469","N/A","44942950","144215034","493","N/A","7740000","N/A","4196221599","N/A","32794935","938","N/A","101000","N/A","N/A","N/A","7095568","N/A","N/A","7723688","N/A","1931331","N/A","N/A","4197037","N/A","465289","N/A","N/A","465","N/A","N/A","N/A","27717","134","0","0","N/A","126.28179513698544"
"46","Kanye West a.k.a Ye","United States","Hip Hop","109","46","N/A","21007984","N/A","47340806626","N/A","56981891","236426909","105","N/A","9470000","N/A","9110147483","N/A","74163452","21054","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","578724","N/A","N/A","N/A","N/A","4014808","N/A","1359482","N/A","N/A","395","N/A","N/A","N/A","31397","207","23","789","N/A","151.0155178233989"
"47","Sia","Australia","Pop","68","47","N/A","26820137","N/A","22706344365","N/A","45286765","277332199","39","N/A","22700000","N/A","21480641310","N/A","147023838","1087","N/A","5200000","N/A","N/A","N/A","7985172","N/A","N/A","11523928","N/A","3679547","N/A","N/A","7843552","N/A","395629","N/A","N/A","27","N/A","N/A","N/A","1529","221","38","3566","N/A","6957.893512756802"
"48","One Direction","United Kingdom","Pop","54","48","N/A","32777417","N/A","19310707430","N/A","39017215","147434677","54","N/A","38300000","N/A","13262785035","N/A","145168316","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","6144050","N/A","3024057","N/A","N/A","238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"49","Travis Scott","United States","Hip Hop","28","49","N/A","23715881","N/A","38262135964","N/A","74923515","418816918","73","N/A","17100000","N/A","9879043809","N/A","110170369","54","N/A","N/A","N/A","N/A","N/A","51353018","N/A","N/A","9338189","N/A","11681073","N/A","N/A","2151893","N/A","2372067","N/A","N/A","681","N/A","N/A","N/A","5853","150","59","6714","N/A","698.9925667185054"
"50","OneRepublic","United States","Pop","106","50","N/A","16129639","N/A","13605235032","N/A","48514998","328805222","96","N/A","10500000","N/A","8741010964","N/A","54603008","1412","N/A","824100","N/A","N/A","N/A","2662704","N/A","N/A","12180771","N/A","3118268","N/A","N/A","3924449","N/A","111924","N/A","N/A","26","N/A","N/A","N/A","25816","50","7","213","N/A","230.0447203184499"
"51","Anuel AA","Puerto Rico","Latin","34","51","N/A","31712649","N/A","23138867170","N/A","32802417","187594636","15","N/A","25200000","N/A","30723867872","N/A","192558360","72","N/A","4400000","N/A","N/A","N/A","36842489","N/A","N/A","7912612","N/A","2261989","N/A","N/A","2208517","N/A","535245","N/A","N/A","1665","N/A","N/A","N/A","94726","4","2","41","N/A","6.95055624411012"
"52","Halsey","United States","Pop","105","52","N/A","20781955","N/A","18812866023","N/A","42582045","227428205","107","N/A","11900000","N/A","13372763033","N/A","143362966","243","N/A","5000000","N/A","N/A","N/A","31920291","N/A","N/A","8634273","N/A","14334747","N/A","N/A","1836426","N/A","296658","N/A","N/A","170","N/A","N/A","N/A","5461","52","21","1617","N/A","2669.89644437869"
"53","Ozuna","Puerto Rico","Latin","56","53","N/A","37831194","N/A","38147403155","N/A","46640975","261166160","19","N/A","36300000","N/A","51968293403","N/A","251680420","445","N/A","11500000","N/A","N/A","N/A","23270035","N/A","N/A","12945832","N/A","2455712","N/A","N/A","4447004","N/A","439938","N/A","N/A","214","N/A","N/A","N/A","32332","27","1","38","N/A","36.61933521821049"
"54","The Chainsmokers","United States","Electronic","103","54","N/A","20382317","N/A","17647236205","N/A","38370628","278379067","52","N/A","22600000","N/A","14820315235","N/A","99599366","865","N/A","2800000","N/A","N/A","N/A","7012994","N/A","N/A","11146543","N/A","3292557","N/A","N/A","5536119","N/A","1147231","N/A","N/A","54","N/A","N/A","N/A","2835","209","80","8282","N/A","7306.431180791875"
"55","Juice WRLD","United States","Hip Hop","118","55","N/A","30376743","N/A","34428739251","N/A","30834136","171071821","200","N/A","11100000","N/A","8784993642","N/A","108252508","2458","N/A","4600000","N/A","N/A","N/A","11971388","N/A","N/A","1047985","N/A","1858331","N/A","N/A","2068195","N/A","3188121","N/A","N/A","846","N/A","N/A","N/A","30732","97","14","503","N/A","136.79701754777307"
"56","Chris Brown","United States","Pop","35","56","N/A","20339932","N/A","30901549105","N/A","47739970","305952967","33","N/A","25400000","N/A","26922576698","N/A","170073690","46","N/A","7500000","N/A","N/A","N/A","143505562","N/A","N/A","50900125","N/A","32041840","N/A","N/A","8414875","N/A","6377451","N/A","N/A","110","N/A","N/A","N/A","11022","575","48","2338","N/A","2828.8404996414065"
"57","Rauw Alejandro","Puerto Rico","Latin","45","57","N/A","18114617","N/A","20644246321","N/A","47992702","261660704","67","N/A","13100000","N/A","19957877647","N/A","116599556","69","N/A","14700000","N/A","N/A","N/A","18740533","N/A","N/A","8757776","N/A","2485400","N/A","N/A","1805638","N/A","154116","N/A","N/A","132","N/A","N/A","N/A","59590","N/A","N/A","N/A","N/A","N/A"
"58","Charlie Puth","United States","Pop","64","58","N/A","21120500","N/A","13288327234","N/A","40789518","251748417","110","N/A","22100000","N/A","16209504507","N/A","132002380","148","N/A","22000000","N/A","N/A","N/A","17800506","N/A","N/A","8560317","N/A","3654765","N/A","N/A","2059767","N/A","407416","N/A","N/A","69","N/A","N/A","N/A","7384","19","6","865","N/A","1619.9639174969564"
"59","Elton John","United Kingdom","Pop","124","59","N/A","12099880","N/A","13089591749","N/A","48590797","380641470","211","N/A","4120000","N/A","3346643913","N/A","22341009","897","N/A","2400000","N/A","N/A","N/A","4700220","N/A","N/A","8114774","N/A","1194749","N/A","N/A","2305101","N/A","42076","N/A","N/A","3","N/A","N/A","N/A","215","53","6","1976","N/A","17089.02384873033"
"60","21 Savage","United States","Hip Hop","82","60","N/A","14581388","N/A","27834449512","N/A","55310359","310591470","169","N/A","8670000","N/A","7469566527","N/A","73114758","255","N/A","1500000","N/A","N/A","N/A","17745128","N/A","N/A","5529471","N/A","4777962","N/A","N/A","1055603","N/A","1565089","N/A","N/A","1292","N/A","N/A","N/A","14366","118","28","1379","N/A","375.1182034684139"
"61","Avicii","Sweden","Electronic","78","61","N/A","23164522","N/A","18048886047","N/A","36235598","188048931","64","N/A","20700000","N/A","9779488201","N/A","75090961","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","7839850","N/A","1948509","N/A","N/A","39","N/A","N/A","N/A","349","632","68","7053","N/A","16588.57924489724"
"62","J. Cole","United States","Hip Hop","120","62","N/A","21129258","N/A","22937655191","N/A","40594409","217986145","230","N/A","7090000","N/A","5320709404","N/A","54469642","1161","N/A","255800","N/A","N/A","N/A","8222183","N/A","N/A","5966864","N/A","14269502","N/A","N/A","2439077","N/A","2660092","N/A","N/A","1684","N/A","N/A","N/A","56434","111","14","224","N/A","75.00493173304656"
"63","BLACKPINK (블랙핑크)","South Korea","Pop","15","63","N/A","44647364","N/A","10982552371","N/A","21999438","68148663","4","N/A","90800000","N/A","31815078135","N/A","787011681","23","N/A","46000000","N/A","N/A","N/A","57367016","N/A","N/A","19936789","N/A","8860956","N/A","N/A","2030240","N/A","391651","N/A","N/A","1006","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"64","Peso Pluma","Mexico","Latin","24","64","N/A","6544593","N/A","6984376168","N/A","48360829","196540601","129","N/A","3590000","N/A","2041507896","N/A","17230375","73","N/A","4600000","N/A","N/A","N/A","10672346","N/A","N/A","894861","N/A","95140","N/A","N/A","98194","N/A","N/A","N/A","N/A","12178","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"65","Metro Boomin","United States","Hip Hop","44","65","N/A","5401885","N/A","16484683363","N/A","54164799","214917219","171","N/A","2140000","N/A","2847875120","N/A","28955705","177","N/A","470900","N/A","N/A","N/A","9267681","N/A","N/A","1537721","N/A","4137919","N/A","N/A","422479","N/A","807922","N/A","N/A","151","N/A","N/A","N/A","26216","83","15","280","N/A","192.7327439605442"
"66","Maluma","Colombia","Latin","40","66","N/A","34407597","N/A","22772363284","N/A","37954851","267798368","20","N/A","29400000","N/A","35511449229","N/A","164445415","47","N/A","7500000","N/A","N/A","N/A","63453125","N/A","N/A","25879661","N/A","8500068","N/A","N/A","7715938","N/A","158861","N/A","N/A","152","N/A","N/A","N/A","6889","22","4","53","N/A","366.7248961517213"
"67","Bebe Rexha","United States","Pop","172","67","N/A","8428074","N/A","14867907760","N/A","45206002","403927688","273","N/A","9300000","N/A","10408651955","N/A","85685404","478","N/A","8400000","N/A","N/A","N/A","10866290","N/A","N/A","5400328","N/A","2110717","N/A","N/A","1644246","N/A","188602","N/A","N/A","44","N/A","N/A","N/A","503","72","25","2332","N/A","10526.304048562934"
"68","Alan Walker","Norway","Electronic","58","68","N/A","39108494","N/A","12451735664","N/A","32035579","164291398","71","N/A","43800000","N/A","16352260508","N/A","172872631","230","N/A","8400000","N/A","N/A","N/A","9653617","N/A","N/A","7726192","N/A","855935","N/A","N/A","3786277","N/A","813797","N/A","N/A","134","N/A","N/A","N/A","6685","121","24","609","N/A","1166.2953007937488"
"69","Linkin Park","United States","Rock","61","69","N/A","24257684","N/A","17535810970","N/A","34220080","115196074","116","N/A","20600000","N/A","12694080747","N/A","92856981","443","N/A","1100000","N/A","N/A","N/A","6377939","N/A","N/A","57218629","N/A","5824357","N/A","N/A","10517138","N/A","5255687","N/A","N/A","78","N/A","N/A","N/A","1930","30","14","993","N/A","2024.9197795436346"
"70","Future","United States","Hip Hop","76","70","N/A","14650220","N/A","35422107727","N/A","52187607","334250508","87","N/A","12800000","N/A","12730480656","N/A","97218636","447","N/A","249000","N/A","N/A","N/A","24725040","N/A","N/A","10354341","N/A","7688320","N/A","N/A","3555782","N/A","10196578","N/A","N/A","546","N/A","N/A","N/A","392","490","54","3530","N/A","9919.528554123362"
"71","Ellie Goulding","United Kingdom","Pop","121","71","N/A","12248477","N/A","11263056818","N/A","41937094","350139128","109","N/A","12600000","N/A","9666337438","N/A","60325193","693","N/A","1400000","N/A","N/A","N/A","14016779","N/A","N/A","14410915","N/A","6250766","N/A","N/A","5992201","N/A","6737385","N/A","N/A","95","N/A","N/A","N/A","370","113","28","2885","N/A","12209.358813099834"
