"Rank","Artist Name","Country","Genre","Viberate Rank","Spotify Rank","Spotify Followers 1m","Spotify Followers Total","Spotify Monthly Streams 1m","Spotify Monthly Streams Total","Spotify Monthly Listeners 1m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1m","YouTube Subscribers Total","YouTube Views 1m","YouTube Views Total","YouTube Likes 1m","YouTube Likes Total","Social Rank","TikTok Followers 1m","TikTok Followers Total","TikTok Likes 1m","TikTok Views 1m","Instagram Followers 1m","Instagram Followers Total","Instagram Likes 1m","Facebook Followers 1m","Facebook Followers Total","Twitter Followers 1m","Twitter Followers Total","Twitter Likes 1m","Deezer Fans 1m","Deezer Fans Total","SoundCloud Followers 1m","SoundCloud Followers Total","SoundCloud Plays 1m","Shazam Shazams 1m","Radio Airplay Rank","Radio Airplay Spins 1m","Radio Airplay Countries with Spins 1m","Radio Airplay Stations with Spins 1m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1m","Beatport Track Performance Points Total"
"193","Grupo Frontera","United States","Latin","74","193","N/A","1596168","N/A","3041698137","N/A","35498310","132043967","167","N/A","2440000","N/A","1844017251","N/A","10262602","296","N/A","1800000","N/A","N/A","N/A","1700444","N/A","N/A","743990","N/A","N/A","N/A","N/A","63129","N/A","N/A","N/A","N/A","7257","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"194","Tate McRae","Canada","Pop","476","194","N/A","3628376","N/A","5053763294","N/A","23094533","207361699","1079","N/A","4150000","N/A","1578826019","N/A","30375168","1209","N/A","4600000","N/A","N/A","N/A","2198579","N/A","N/A","243176","N/A","121291","N/A","N/A","249759","N/A","82914","N/A","N/A","539","N/A","N/A","N/A","1566","19","6","311","N/A","2410.3069665759576"
"195","Big Sean","United States","Hip Hop","399","195","N/A","11064949","N/A","14626563241","N/A","18830601","129979578","355","N/A","4310000","N/A","5679924011","N/A","47078863","772","N/A","1200000","N/A","N/A","N/A","16707914","N/A","N/A","7921445","N/A","14070085","N/A","N/A","1580255","N/A","9520811","N/A","N/A","1146","N/A","N/A","N/A","26614","130","18","967","N/A","194.76572383180678"
"196","Lil Durk","United States","Hip Hop","141","196","N/A","6068066","N/A","10306141616","N/A","28393734","198779559","155","N/A","5680000","N/A","7831785240","N/A","71287034","234","N/A","2600000","N/A","N/A","N/A","15204042","N/A","N/A","4954060","N/A","6891668","N/A","N/A","469675","N/A","1002890","N/A","N/A","2003","N/A","N/A","N/A","13796","159","10","220","N/A","322.4115402791055"
"197","Måneskin","Italy","Rock","237","197","N/A","7743805","N/A","5705784815","N/A","20792712","100860089","353","N/A","4590000","N/A","2144456916","N/A","29888606","834","N/A","6800000","N/A","N/A","N/A","6624691","N/A","N/A","1487389","N/A","591997","N/A","N/A","508695","N/A","N/A","N/A","N/A","143","N/A","N/A","N/A","69819","3","0","0","N/A","8.30110676332987"
"198","Alok","Brazil","Electronic","241","198","N/A","12217411","N/A","6277854619","N/A","23892963","211052229","1025","N/A","6570000","N/A","2446704940","N/A","29956759","289","N/A","13200000","N/A","N/A","N/A","28151782","N/A","N/A","9229949","N/A","2760224","N/A","N/A","4092240","N/A","620849","N/A","N/A","119","N/A","N/A","N/A","230","266","95","8034","N/A","25200.010828477087"
"199","Christian Nodal","Mexico","Latin","150","199","N/A","13763160","N/A","7862902148","N/A","19732940","60766508","90","N/A","10800000","N/A","9974689483","N/A","48213658","1089","N/A","2100000","N/A","N/A","N/A","9775376","N/A","N/A","9477708","N/A","N/A","N/A","N/A","2335561","N/A","19448","N/A","N/A","552","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"200","Led Zeppelin","United Kingdom","Rock","390","200","N/A","13671704","N/A","9510760900","N/A","18689067","82683037","1380","N/A","3220000","N/A","1067105359","N/A","8545160","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","4835887","N/A","80516","N/A","N/A","72","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"201","The Killers","United States","Rock","477","201","N/A","7096135","N/A","8393474577","N/A","21358395","152201366","923","N/A","2400000","N/A","2256677635","N/A","11825923","3342","N/A","143400","N/A","N/A","N/A","1371161","N/A","N/A","8396891","N/A","4723349","N/A","N/A","1957973","N/A","89430","N/A","N/A","211","N/A","N/A","N/A","74199","7","0","0","N/A","11.013275942980442"
"202","Kid Cudi","United States","Hip Hop","493","202","N/A","6633525","N/A","15440174998","N/A","24995195","103539278","705","N/A","2410000","N/A","3434692164","N/A","28136429","1751","N/A","629500","N/A","N/A","N/A","3363218","N/A","N/A","9376920","N/A","2747298","N/A","N/A","1262606","N/A","427250","N/A","N/A","1770","N/A","N/A","N/A","1080","159","14","1437","N/A","5229.0292563104695"
"203","Lorde","New Zealand","Pop","417","203","N/A","9985554","N/A","7317453205","N/A","20419986","116468297","969","N/A","4980000","N/A","2604770346","N/A","20073082","1068","N/A","N/A","N/A","N/A","N/A","10645684","N/A","N/A","6124334","N/A","7019730","N/A","N/A","1815898","N/A","6277429","N/A","N/A","523","N/A","N/A","N/A","82450","16","7","394","N/A","685.952890259973"
"204","Sech","Panama","Latin","261","204","N/A","11856962","N/A","14236977480","N/A","21464113","127415323","160","N/A","9830000","N/A","14162418839","N/A","84028970","656","N/A","3800000","N/A","N/A","N/A","7176127","N/A","N/A","4195191","N/A","1872148","N/A","N/A","1445864","N/A","103890","N/A","N/A","2382","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"205","Eslabon Armado","United States","Latin","291","205","N/A","4597092","N/A","3964110361","N/A","28622626","102520138","665","N/A","2510000","N/A","1665319126","N/A","16599168","1506","N/A","1500000","N/A","N/A","N/A","1877210","N/A","N/A","1047532","N/A","18394","N/A","N/A","261627","N/A","124292","N/A","N/A","14255","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"206","Mariah Carey","United States","Pop","127","206","N/A","9259131","N/A","9301286356","N/A","24345565","155925978","92","N/A","9910000","N/A","8901079521","N/A","54870934","227","N/A","8600000","N/A","N/A","N/A","12135446","N/A","N/A","24673324","N/A","21857831","N/A","N/A","2981943","N/A","644528","N/A","N/A","85","N/A","N/A","N/A","15701","80","5","116","N/A","482.17745601455385"
"207","Jonas Brothers","United States","Pop","205","207","N/A","7163062","N/A","5978238982","N/A","25000806","195807348","559","N/A","5300000","N/A","2530655111","N/A","29083684","122","N/A","7700000","N/A","N/A","N/A","7250767","N/A","N/A","13679087","N/A","4698311","N/A","N/A","1595380","N/A","41223","N/A","N/A","200","N/A","N/A","N/A","105276","1","0","0","N/A","4.521950355887579"
"208","Tainy","Puerto Rico","Latin","272","208","N/A","1637321","N/A","6189436050","N/A","30453431","200176975","277","N/A","2420000","N/A","5073233314","N/A","35425885","665","N/A","1000000","N/A","N/A","N/A","1741949","N/A","N/A","313268","N/A","205441","N/A","N/A","232646","N/A","16420","N/A","N/A","18587","N/A","N/A","N/A","94824","3","0","0","N/A","5.9237852715976205"
"209","Radiohead","United Kingdom","Rock","274","209","N/A","8591086","N/A","8821481964","N/A","23820505","118566758","869","N/A","3460000","N/A","2425805433","N/A","18262858","1818","N/A","411700","N/A","N/A","N/A","2549234","N/A","N/A","11319868","N/A","1924353","N/A","N/A","3410843","N/A","1764783","N/A","N/A","310","N/A","N/A","N/A","8893","293","1","13","N/A","291.22221674361384"
"210","Steve Lacy","United States","R&B","471","210","N/A","3536176","N/A","4684278136","N/A","25699790","72605936","2276","N/A","1050000","N/A","367707936","N/A","6198919","2701","N/A","1600000","N/A","N/A","N/A","3425971","N/A","N/A","12658","N/A","N/A","N/A","N/A","84124","N/A","242322","N/A","N/A","2333","N/A","N/A","N/A","947","15","6","401","N/A","11259.375205549422"
"211","John Legend","United States","R&B","263","211","N/A","6557245","N/A","8696369851","N/A","21278072","219164650","219","N/A","7650000","N/A","7009258915","N/A","48261230","332","N/A","2600000","N/A","N/A","N/A","15818197","N/A","N/A","16468833","N/A","13647071","N/A","N/A","3351501","N/A","4907775","N/A","N/A","182","N/A","N/A","N/A","6643","253","10","510","N/A","1801.649033063011"
"212","Mac Miller","United States","Hip Hop","328","212","N/A","9398314","N/A","12987051472","N/A","24218799","78111837","827","N/A","4320000","N/A","3595777003","N/A","29807859","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1023321","N/A","805704","N/A","N/A","4518","N/A","N/A","N/A","42708","117","7","167","N/A","100.61095291764116"
"213","Alessia Cara","Canada","Pop","489","213","N/A","11786967","N/A","8160200318","N/A","16711669","109397069","473","N/A","4390000","N/A","5191879961","N/A","52221748","2532","N/A","478100","N/A","N/A","N/A","4842556","N/A","N/A","1973768","N/A","1216771","N/A","N/A","639355","N/A","97109","N/A","N/A","621","N/A","N/A","N/A","63448","38","4","417","N/A","698.6749038665217"
"214","Ne-Yo","United States","R&B","217","214","N/A","8235144","N/A","9096968701","N/A","22141289","174569359","152","N/A","4860000","N/A","8080148232","N/A","39284675","623","N/A","1600000","N/A","N/A","N/A","4156504","N/A","N/A","18742955","N/A","6396857","N/A","N/A","3615919","N/A","331232","N/A","N/A","410","N/A","N/A","N/A","10536","190","18","704","N/A","649.5299247352617"
"215","Carin Leon","Mexico","Latin","145","215","N/A","7511301","N/A","5564484018","N/A","23672732","113973041","254","N/A","2140000","N/A","3835309150","N/A","16671851","438","N/A","3500000","N/A","N/A","N/A","3492655","N/A","N/A","7966574","N/A","24971","N/A","N/A","777905","N/A","26096","N/A","N/A","1149","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"216","Bob Marley & The Wailers","Jamaica","Reggae","1265","216","N/A","11789301","N/A","9790481625","N/A","20199946","93794556","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","11434273","N/A","250209","N/A","N/A","N/A","N/A","N/A","N/A","99244","24","0","0","N/A","17.93004015550733"
"217","Natanael cano","Mexico","Latin","107","217","N/A","8173032","N/A","5841997555","N/A","20460506","59898086","287","N/A","3500000","N/A","2853516083","N/A","27707309","176","N/A","2600000","N/A","N/A","N/A","7089212","N/A","N/A","1468439","N/A","7268","N/A","N/A","892055","N/A","109451","N/A","N/A","6821","N/A","N/A","N/A","71850","1","0","0","N/A","3.7992627589348777"
"218","U2","Ireland","Rock","306","218","N/A","11448243","N/A","10441822463","N/A","20459574","163569501","651","N/A","2770000","N/A","2640391478","N/A","12862524","1609","N/A","139900","N/A","N/A","N/A","3144656","N/A","N/A","16408837","N/A","1649943","N/A","N/A","6425097","N/A","72838","N/A","N/A","18","N/A","N/A","N/A","55512","30","2","79","N/A","81.50509575712121"
"219","A Boogie Wit da Hoodie","United States","Hip Hop","345","219","N/A","7652229","N/A","14036811372","N/A","19167618","126943788","790","N/A","4900000","N/A","3762718253","N/A","35552324","426","N/A","1900000","N/A","N/A","N/A","7051662","N/A","N/A","1337813","N/A","1165528","N/A","N/A","373710","N/A","1544201","N/A","N/A","1477","N/A","N/A","N/A","18753","54","2","30","N/A","173.16999494107085"
"220","Sidhu Moose Wala","India","Hip Hop","91","220","N/A","22568745","N/A","2994018800","N/A","10223196","6576573","59","N/A","21700000","N/A","9955194901","N/A","174540767","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","22665","N/A","N/A","N/A","N/A","2745","N/A","N/A","N/A","116129","1","1","5","N/A","2.351739503848183"
"221","Luis Miguel","Mexico","Pop","281","221","N/A","13337128","N/A","9490388829","N/A","17324334","56697418","611","N/A","2130000","N/A","3391144484","N/A","13150626","1245","N/A","925000","N/A","N/A","N/A","3439135","N/A","N/A","5233187","N/A","634495","N/A","N/A","1627960","N/A","N/A","N/A","N/A","313","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"222","Tom Odell","United Kingdom","Pop","403","222","N/A","3370329","N/A","3555453371","N/A","23259367","167110388","574","N/A","1920000","N/A","2095538731","N/A","17964992","1302","N/A","1900000","N/A","N/A","N/A","896785","N/A","N/A","704339","N/A","N/A","N/A","N/A","588634","N/A","782304","N/A","N/A","888","N/A","N/A","N/A","47161","23","1","40","N/A","118.19461279152934"
"223","Oasis","United Kingdom","Rock","354","223","N/A","9078600","N/A","10762039703","N/A","20301194","110282730","662","N/A","3340000","N/A","2737468808","N/A","15427800","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","4123049","N/A","N/A","N/A","N/A","185","N/A","N/A","N/A","73055","N/A","N/A","N/A","N/A","N/A"
"224","Fuerza Regida","Mexico","Latin","111","224","N/A","4422844","N/A","4556481452","N/A","22469166","90813566","199","N/A","2670000","N/A","2144547934","N/A","13624776","469","N/A","2800000","N/A","N/A","N/A","3500432","N/A","N/A","1913062","N/A","72871","N/A","N/A","397213","N/A","56783","N/A","N/A","3325","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"225","Maria Becerra","Argentina","Pop","108","225","N/A","4686256","N/A","5401258377","N/A","25918671","153776999","119","N/A","4610000","N/A","6298918910","N/A","48375896","99","N/A","10500000","N/A","N/A","N/A","12987096","N/A","N/A","2441403","N/A","2754199","N/A","N/A","292369","N/A","9903","N/A","N/A","1776","N/A","N/A","N/A","98291","1","0","0","N/A","2.5851090171859847"
"226","The Police","United Kingdom","Rock","429","226","N/A","5596375","N/A","4019752200","N/A","25782056","157618951","742","N/A","1680000","N/A","1903751917","N/A","9537015","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2795838","N/A","N/A","N/A","N/A","60","N/A","N/A","N/A","143303","1","0","0","N/A","0.2640204616055095"
"227","Central Cee","United Kingdom","Hip Hop","101","227","N/A","3812852","N/A","3530730232","N/A","35098069","215869128","527","N/A","2880000","N/A","1244774072","N/A","18005194","96","N/A","8800000","N/A","N/A","N/A","8861666","N/A","N/A","N/A","N/A","N/A","N/A","N/A","310319","N/A","231226","N/A","N/A","1148","N/A","N/A","N/A","87400","15","0","0","N/A","3.9603069240826443"
"228","Giveon","United States","R&B","581","228","N/A","3116272","N/A","6571127475","N/A","23136653","128070303","541","N/A","2840000","N/A","2277994760","N/A","26140158","4463","N/A","3600000","N/A","N/A","N/A","2953461","N/A","N/A","240360","N/A","432692","N/A","N/A","217685","N/A","177101","N/A","N/A","4157","N/A","N/A","N/A","70128","14","1","29","N/A","13.22193347974459"
"229","Duki","Argentina","Hip Hop","169","229","N/A","9279814","N/A","8961165469","N/A","24656585","137211705","377","N/A","7040000","N/A","4395456265","N/A","66821041","231","N/A","3000000","N/A","N/A","N/A","12733648","N/A","N/A","2548275","N/A","3517589","N/A","N/A","711332","N/A","33775","N/A","N/A","4852","N/A","N/A","N/A","80089","8","0","0","N/A","12.73191669949659"
"230","Anitta","Brazil","Pop","89","230","N/A","13044475","N/A","9403600396","N/A","20820258","161155726","190","N/A","17200000","N/A","12766826190","N/A","112936848","39","N/A","22500000","N/A","N/A","N/A","64597405","N/A","N/A","16984102","N/A","19155432","N/A","N/A","6887965","N/A","106924","N/A","N/A","311","N/A","N/A","N/A","71832","11","0","0","N/A","21.11991802031052"
"231","Lizzo","United States","Pop","280","231","N/A","5629557","N/A","5753064748","N/A","24463307","144219517","1914","N/A","3040000","N/A","1381911291","N/A","18031981","147","N/A","26700000","N/A","N/A","N/A","13315518","N/A","N/A","1548049","N/A","2272441","N/A","N/A","355424","N/A","115307","N/A","N/A","48","N/A","N/A","N/A","1301","24","5","704","N/A","3104.138983599565"
"232","Zion & Lennox","Puerto Rico","Latin","443","232","N/A","7551527","N/A","9992269052","N/A","20351883","102995500","281","N/A","3490000","N/A","9455281709","N/A","42925806","3923","N/A","457000","N/A","N/A","N/A","3827156","N/A","N/A","5344596","N/A","1939939","N/A","N/A","1655773","N/A","13180","N/A","N/A","799","N/A","N/A","N/A","62377","18","0","0","N/A","38.493618771098014"
"233","Don Toliver","United States","Hip Hop","475","233","N/A","3167507","N/A","8473355387","N/A","24151196","117233232","1060","N/A","1710000","N/A","1558675926","N/A","22247306","2039","N/A","1100000","N/A","N/A","N/A","2794965","N/A","N/A","170988","N/A","472465","N/A","N/A","284058","N/A","249370","N/A","N/A","2844","N/A","N/A","N/A","18633","16","6","246","N/A","70.47256404422899"
"234","ice spice","United States","Hip Hop","98","234","N/A","1829268","N/A","1905081918","N/A","46699432","235903771","445","N/A","1470000","N/A","199166203","N/A","3557512","58","N/A","9500000","N/A","N/A","N/A","9386673","N/A","N/A","492966","N/A","1238024","N/A","N/A","42400","N/A","113456","N/A","N/A","1687","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
